"fecha","precio_carbon"
2000-01-01,56.8085619915463
2000-01-02,84.0685766825825
2000-01-03,70.6673932749406
2000-01-05,79.7228435013443
2000-01-06,91.509914158117
2000-01-07,69.7745590366796
2000-01-08,NA
2000-01-09,75.7690784936585
2000-01-10,99.4854636990465
2000-01-11,98.2497781518102
2000-01-12,99.4713526772708
2000-01-13,99.0118835643493
2000-01-14,57.0672586003132
2000-01-15,83.7634581134655
2000-01-16,90.6643512620777
2000-01-17,71.1917453259602
2000-01-18,78.3106912524998
2000-01-19,51.5274436546303
2000-01-20,84.5615582027472
2000-01-21,55.4124286552146
2000-01-22,71.1418137775175
2000-01-23,57.5085895576142
2000-01-24,76.5724182188325
2000-01-25,99.3218572954647
2000-01-26,62.7615298490226
2000-01-27,68.5945911297947
2000-01-28,96.0922261517122
2000-01-29,74.320123963505
2000-01-30,56.7926359000616
2000-02-01,77.8237453469448
2000-02-02,73.5872146333195
2000-02-03,96.8205694552325
2000-02-04,78.1334590694867
2000-02-05,63.7243927138112
2000-02-06,90.8278093323484
2000-02-07,88.4685175344907
2000-02-08,80.7622089103609
2000-02-09,56.8389300744049
2000-02-10,75.1772545384429
2000-02-11,88.4017336024344
2000-02-12,62.7735593632422
2000-02-13,95.7749143138342
2000-02-14,97.5489586455747
2000-02-15,93.0616594334319
2000-02-16,83.7149239994027
2000-02-17,83.7550640690699
2000-02-19,100.070864165667
2000-02-20,68.6430514698103
2000-02-21,69.4937010987103
2000-02-22,53.3827116674371
2000-02-23,93.5665583633631
2000-02-24,89.8812295767479
2000-02-25,82.7143701358885
2000-02-26,83.4586533204094
2000-02-27,92.1727552464791
2000-02-28,72.2282242500968
2000-02-29,70.8564950942062
2000-03-01,60.1805022510886
2000-03-02,77.8895457186177
2000-03-03,73.74607763445
2000-03-04,55.70640426239
2000-03-05,100.082047055755
2000-03-06,58.5353394638933
2000-03-07,98.7447018954344
2000-03-08,50.9814386909455
2000-03-09,69.1268388571031
2000-03-10,63.5695221376605
2000-03-11,59.2275511799566
2000-03-12,74.0658739876375
2000-03-13,99.8307188770361
2000-03-14,72.077042644266
2000-03-15,64.1619743164629
2000-03-16,NA
2000-03-17,63.3151187582314
2000-03-18,73.538813075386
2000-03-19,68.9610716611892
2000-03-20,76.1242843857966
2000-03-21,96.8614601075836
2000-03-22,98.3548804398999
2000-03-23,99.5038017113321
2000-03-24,93.8606793676317
2000-03-25,68.8556063340045
2000-03-26,58.4204656740837
2000-03-27,88.5773810962588
2000-03-28,72.0543618803471
2000-03-29,55.6484203195944
2000-03-30,96.6218506878242
2000-03-31,95.9743182569928
2000-04-01,56.1140605379269
2000-04-02,52.9485057440214
2000-04-03,87.5951615812071
2000-04-04,84.9468924723566
2000-04-05,98.6093202494271
2000-04-06,89.0245724675618
2000-04-07,52.2752601478808
2000-04-08,71.5364217435755
2000-04-09,78.132950397674
2000-04-10,67.8917821809836
2000-04-11,99.6674933868833
2000-04-12,60.8148403715901
2000-04-13,64.3830938017741
2000-04-15,97.9913477592357
2000-04-16,88.492947247196
2000-04-17,72.1117429644428
2000-04-18,61.3370278212987
2000-04-20,63.4786805718392
2000-04-21,58.2022821264714
2000-04-22,88.8018718506768
2000-04-23,92.4313986228593
2000-04-24,75.9393979085609
2000-04-25,53.5110771729797
2000-04-26,71.1074540783092
2000-04-27,53.8709332362376
2000-04-28,74.5725885711424
2000-04-29,95.67607948035
2000-04-30,79.6032673129998
2000-05-01,54.8750083778426
2000-05-02,71.9995931342803
2000-05-03,52.474481594637
2000-05-04,91.1555294087157
2000-05-05,64.537088257838
2000-05-06,64.376027447395
2000-05-07,98.0279875498824
2000-05-08,89.5252341884002
2000-05-09,89.641368713323
2000-05-10,88.513842627611
