"fecha","precio_gas_natural"
2000-01-01,134.102880491849
2000-01-02,102.801822792687
2000-01-03,72.7367454198338
2000-01-04,101.510641741928
2000-01-05,133.780213256702
2000-01-06,78.5854763889983
2000-01-07,138.96163783111
2000-01-08,115.018383079465
2000-01-09,81.0661724901274
2000-01-10,92.4408297959901
2000-01-11,98.0117884629332
2000-01-12,137.886254196674
2000-01-13,91.59027475271
2000-01-14,104.018844958961
2000-01-15,135.895505519193
2000-01-16,133.504376625691
2000-01-17,77.2039330150224
2000-01-18,71.2734661656395
2000-01-19,76.0947860441804
2000-01-20,98.9988498640619
2000-01-21,106.975038205191
2000-01-22,77.7703894398958
2000-01-23,78.5625117233545
2000-01-24,96.8952369888574
2000-01-25,72.6424355612136
2000-01-26,93.2116793233641
2000-01-27,92.172154018417
2000-01-28,97.5310219574869
2000-01-29,132.050858443778
2000-01-30,72.4094018332288
2000-01-31,131.864374579985
2000-02-01,135.9025193519
2000-02-02,92.0021055318192
2000-02-03,135.870237160519
2000-02-05,109.182683468789
2000-02-06,122.61539026393
2000-02-07,105.796050266769
2000-02-08,110.610366522715
2000-02-09,78.5076044536009
2000-02-10,82.4933024140559
2000-02-11,132.159237398136
2000-02-12,88.9740604048558
2000-02-13,81.9700603776313
2000-02-14,130.226542990413
2000-02-15,85.7202623660788
2000-02-16,78.9619913461469
2000-02-17,128.040016822197
2000-02-18,103.87980396685
2000-02-19,133.845767333265
2000-02-20,125.085477027178
2000-02-21,73.3652115143314
2000-02-22,78.6276295734719
2000-02-23,126.757419077203
2000-02-24,90.9447669665888
2000-02-25,75.3924306192733
2000-02-26,85.5808617611453
2000-02-27,70.7786874215826
2000-02-28,112.606559573065
2000-02-29,130.946259727534
2000-03-01,NA
2000-03-02,132.677804403253
2000-03-03,131.631923424765
2000-03-04,81.404601182051
2000-03-05,112.600764590949
2000-03-06,138.080638953161
2000-03-08,82.3714832771532
2000-03-09,125.368233977415
2000-03-10,130.174340173174
2000-03-11,127.775196732033
2000-03-12,84.5311729716919
2000-03-13,95.9021085798331
2000-03-14,131.259427238189
2000-03-15,118.455774847325
2000-03-16,125.099406198945
2000-03-17,92.9583553865962
2000-03-18,102.25121087331
2000-03-19,111.979920922115
2000-03-20,104.439598242994
2000-03-21,123.680430106569
2000-03-22,109.256607050732
2000-03-23,88.4619615242593
2000-03-24,89.521087924622
2000-03-25,131.164057457466
2000-03-26,125.57555550066
2000-03-27,114.316030720774
2000-03-28,95.2344013881274
2000-03-29,121.493519858465
2000-03-30,136.694834956415
2000-03-31,75.6372868925817
2000-04-01,119.560040678758
2000-04-02,78.2166653442159
2000-04-03,71.6676878178194
2000-04-04,96.3662901589088
2000-04-05,138.293690453574
2000-04-06,78.5409196473509
2000-04-07,128.339544382185
2000-04-08,113.784904705107
2000-04-09,104.918928572163
2000-04-10,102.988363288037
2000-04-11,84.0470739250481
2000-04-12,132.148923681691
2000-04-13,75.7713914747238
2000-04-14,105.221375387218
2000-04-15,132.163296772663
2000-04-16,77.7901789946519
2000-04-17,105.686663161941
2000-04-18,85.9541691666916
2000-04-19,95.0804703723825
2000-04-20,126.094720438022
2000-04-21,114.200033198915
2000-04-22,116.717479220439
2000-04-23,110.33349889918
2000-04-24,108.733079467695
2000-04-25,124.445564583644
2000-04-26,77.8101079959646
2000-04-27,130.56196991419
2000-04-28,118.116152604267
2000-04-29,96.8433888830617
2000-04-30,128.329047718655
2000-05-01,97.0004650276005
2000-05-02,129.688273461588
2000-05-03,139.63307251551
2000-05-04,139.712142657023
2000-05-05,109.995110085674
2000-05-06,96.4977406942695
2000-05-07,128.00550085764
2000-05-08,86.8721963077672
2000-05-09,126.923483795356
2000-05-10,115.54875402882
2000-05-11,77.1817969901524
2000-05-12,104.583034753125
2000-05-13,88.6943973957077
2000-05-14,93.7965033796802
2000-05-15,109.894845596693
2000-05-16,127.323850909866
2000-05-17,132.019796443764
