"fecha","precio_gasolina"
2000-01-01,85.2246264724433
2000-01-02,58.8020416875184
2000-01-03,62.358078863211
2000-01-04,48.5910483011603
2000-01-05,43.8096114445478
2000-01-06,41.8702058907971
2000-01-07,71.4966960602254
2000-01-08,43.0743579691462
2000-01-09,53.9393395294063
2000-01-10,46.602654356882
2000-01-11,56.6391548823006
2000-01-12,57.8708732886054
2000-01-13,61.1804727438092
2000-01-14,47.9194410288334
2000-01-15,90.0210948973894
2000-01-16,57.9812394937873
2000-01-17,46.6360570002161
2000-01-18,64.3991064404324
2000-01-19,52.9371508691087
2000-01-20,50.3327486103401
2000-01-21,90.1668386236206
2000-01-22,89.8318704555556
2000-01-23,62.2836397187971
2000-01-24,89.2249461591802
2000-01-25,56.5459164474159
2000-01-26,70.0645170260593
2000-01-27,82.6301638991386
2000-01-28,45.4124669038877
2000-01-29,53.6982191390917
2000-01-30,70.10687180534
2000-01-31,59.4501706193574
2000-02-01,48.5072332259081
2000-02-02,61.3561893458664
2000-02-03,NA
2000-02-04,65.623774145171
2000-02-05,77.4128755360283
2000-02-06,71.6949249826185
2000-02-07,74.4736846565455
2000-02-08,73.0647468090616
2000-02-09,88.2367326431908
2000-02-10,89.6053693679534
2000-02-11,79.1922998159006
2000-02-12,45.5450638260879
2000-02-13,83.4105049376935
2000-02-14,82.5925226144493
2000-02-15,57.1998739606142
2000-02-16,76.3423851502873
2000-02-17,86.6502694301494
2000-02-18,73.501794090271
2000-02-19,55.206466649659
2000-02-20,41.520709325783
2000-02-21,59.8699611341395
2000-02-22,76.0985918708332
2000-02-23,87.841882726606
2000-02-24,80.0356118247844
2000-02-25,44.7370174400881
2000-02-26,80.6517952235229
2000-02-27,80.7801826441847
2000-02-28,88.3456505822577
2000-02-29,68.2474837795831
2000-03-01,75.3143898887932
2000-03-02,45.3990938406251
2000-03-03,68.546293090675
2000-03-04,76.6577394468337
2000-03-05,42.5175971776247
2000-03-06,46.0605757090636
2000-03-07,74.7471844028495
2000-03-08,65.7623645968922
2000-03-09,61.8907543072104
2000-03-10,89.4381011596881
2000-03-11,87.9439252592064
2000-03-12,75.6538877247646
